--------------------------------------------------------------------------------"
"********Log file Created at:Date:2022_02_15 Time:01:14:26 PM*********"
"--------------------------------------------------------------------------------"
"{'pid': 5768, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.8125}"
"{'pid': 6031, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.80859375}"
"{'pid': 6043, 'username': 'ashwini', 'name': 'chrome', 'vms': 24934.8046875}"
"{'pid': 6049, 'username': 'ashwini', 'name': 'chrome', 'vms': 24942.80859375}"
"{'pid': 7919, 'username': 'ashwini', 'name': 'chrome', 'vms': 39330.8359375}"
"{'pid': 8325, 'username': 'ashwini', 'name': 'chrome', 'vms': 33211.8046875}"
"{'pid': 8346, 'username': 'ashwini', 'name': 'chrome', 'vms': 24945.9921875}"
"{'pid': 8364, 'username': 'root', 'name': 'kworker/1:2H-kblockd', 'vms': 0.0}"
"{'pid': 8950, 'username': 'root', 'name': 'kworker/2:0-events', 'vms': 0.0}"
"{'pid': 9073, 'username': 'root', 'name': 'kworker/0:0H-radeon-crtc', 'vms': 0.0}"
"{'pid': 9077, 'username': 'root', 'name': 'kworker/3:0H-kblockd', 'vms': 0.0}"
"{'pid': 9137, 'username': 'ashwini', 'name': 'chrome', 'vms': 29059.125}"
"{'pid': 9173, 'username': 'root', 'name': 'kworker/u16:2-flush-8:0', 'vms': 0.0}"
"{'pid': 9629, 'username': 'root', 'name': 'kworker/2:2-events', 'vms': 0.0}"
"{'pid': 9636, 'username': 'ashwini', 'name': 'gedit', 'vms': 837.6015625}"
"{'pid': 9677, 'username': 'root', 'name': 'kworker/3:1-cgroup_destroy', 'vms': 0.0}"
"{'pid': 9699, 'username': 'root', 'name': 'kworker/1:0-events', 'vms': 0.0}"
"{'pid': 9983, 'username': 'root', 'name': 'kworker/u16:1-events_power_efficient', 'vms': 0.0}"
"{'pid': 10250, 'username': 'root', 'name': 'kworker/0:2H-kblockd', 'vms': 0.0}"
"{'pid': 10813, 'username': 'root', 'name': 'kworker/0:1-events', 'vms': 0.0}"
"{'pid': 10818, 'username': 'root', 'name': 'kworker/1:0H-kblockd', 'vms': 0.0}"
"{'pid': 10870, 'username': 'ashwini', 'name': 'chrome', 'vms': 24946.80078125}"
"{'pid': 10887, 'username': 'ashwini', 'name': 'chrome', 'vms': 24938.66015625}"
"{'pid': 10911, 'username': 'ashwini', 'name': 'chrome', 'vms': 24934.8046875}"
"{'pid': 10924, 'username': 'ashwini', 'name': 'chrome', 'vms': 24936.76171875}"
"{'pid': 10942, 'username': 'root', 'name': 'kworker/3:2H-radeon-crtc', 'vms': 0.0}"
